date,market_ret,breadth,market_anomaly_flag
2017-01-04,0.007248725142738592,0.6666666666666666,0
2017-01-05,0.005461932678626769,0.6666666666666666,0
2017-01-06,0.014095277817348983,1.0,0
2017-01-09,0.010507042932890212,0.8333333333333334,0
2017-01-10,-0.001722868892918043,0.3333333333333333,0
2017-01-11,0.0037960294316420895,0.8333333333333334,0
2017-01-12,-0.001459158654018633,0.3333333333333333,0
2017-01-13,0.00348125149611872,0.6666666666666666,0
2017-01-17,-0.0054707075685933955,0.16666666666666666,1
2017-01-18,0.002882625556288395,0.5,0
2017-01-19,0.0025113622739864616,0.3333333333333333,0
2017-01-20,-0.0007861814285081148,0.5,0
2017-01-23,0.007009968265620577,1.0,0
2017-01-24,0.007501738272007674,0.8333333333333334,0
2017-01-25,0.011036832341877467,1.0,0
2017-01-26,0.006846834422143029,1.0,0
2017-01-27,0.006045977096354886,0.6666666666666666,0
2017-01-30,-0.008580094791775147,0.0,1
2017-01-31,-0.005442938780964708,0.0,1
2017-02-01,0.02135396800125472,0.8333333333333334,0
2017-02-02,-0.0008675632767905691,0.3333333333333333,0
2017-02-03,-0.004646018481143932,0.6666666666666666,0
2017-02-06,0.006773454924153007,0.6666666666666666,0
2017-02-07,0.004956662423693155,0.6666666666666666,0
2017-02-08,0.0044216960387400235,0.6666666666666666,0
2017-02-09,0.0008324157640354583,0.6666666666666666,0
2017-02-10,-0.002634980848814824,0.5,0
2017-02-13,-0.001740546620277302,0.6666666666666666,0
2017-02-14,0.00368308742181798,0.6666666666666666,0
2017-02-15,0.0025710159485050807,0.6666666666666666,0
2017-02-16,-0.0021655671550502484,0.3333333333333333,0
2017-02-17,0.0012024325305847,0.6666666666666666,0
2017-02-21,0.010138090890330057,0.8333333333333334,0
2017-02-22,0.002802098904742034,0.5,0
2017-02-23,-0.017708114630166232,0.16666666666666666,1
2017-02-24,0.0008273365016627232,0.6666666666666666,0
2017-02-27,0.006238097543934636,0.8333333333333334,0
2017-02-28,-0.007533899317221315,0.16666666666666666,1
2017-03-01,0.013776417018934098,1.0,0
2017-03-02,-0.011973625536121505,0.0,1
2017-03-03,0.0016448159058999507,0.8333333333333334,0
2017-03-06,-0.0024660903490688244,0.3333333333333333,0
2017-03-07,0.0018360481929959687,0.5,0
2017-03-08,0.002288029023179816,0.6666666666666666,0
2017-03-09,0.00016249948002243034,0.5,0
2017-03-10,0.0033069327126557893,0.8333333333333334,0
2017-03-13,0.005765794305666057,0.8333333333333334,0
2017-03-14,-0.002279891475512256,0.0,1
2017-03-15,0.005496023587568177,1.0,0
2017-03-16,0.002333993808706858,0.6666666666666666,0
2017-03-17,0.002938761031355578,0.3333333333333333,0
2017-03-20,0.008397622834560137,1.0,0
2017-03-21,-0.016057655286682626,0.0,1
2017-03-22,0.010800765877431026,1.0,0
2017-03-23,-0.0031368205093365944,0.0,1
2017-03-24,0.0015075187182728156,0.6666666666666666,0
2017-03-27,0.002284522688278945,0.8333333333333334,0
2017-03-28,0.007614714239206714,0.8333333333333334,0
2017-03-29,0.005674557041141763,0.8333333333333334,0
2017-03-30,0.003971745167478409,0.6666666666666666,0
2017-03-31,0.0007571526745723071,0.3333333333333333,0
2017-04-03,-0.0004762463049223416,0.5,0
2017-04-04,-0.007504370495120778,0.6666666666666666,0
2017-04-05,-0.0026224529912660666,0.3333333333333333,0
2017-04-06,-0.001494952474840013,0.5,0
2017-04-07,-0.0023890294276176873,0.0,1
2017-04-10,-0.0021952529749637204,0.5,0
2017-04-11,-0.004226240020615797,0.16666666666666666,1
2017-04-12,-0.004021324572426248,0.16666666666666666,1
2017-04-13,-0.0077527593772923065,0.0,1
2017-04-17,0.01588011404323782,1.0,1
2017-04-18,-0.0013335989355373057,0.3333333333333333,0
2017-04-19,0.00011965907254450163,0.5,0
2017-04-20,0.009622387355370429,1.0,0
2017-04-21,0.0019534528758188285,0.3333333333333333,0
2017-04-24,0.012258267006269677,1.0,0
2017-04-25,0.007305280979199987,1.0,0
2017-04-26,-0.002194841263859474,0.3333333333333333,0
2017-04-27,0.007767395428471417,1.0,0
2017-04-28,0.002559211553099664,0.6666666666666666,0
2017-05-01,0.01757330208448889,1.0,1
2017-05-02,-0.0037431226278659504,0.5,0
2017-05-03,-0.002440000141266626,0.16666666666666666,1
2017-05-04,-0.003493734620785597,0.16666666666666666,1
2017-05-05,0.002573342736729489,0.6666666666666666,0
2017-05-08,0.0065671936807982405,0.6666666666666666,0
2017-05-09,0.0021893425589267212,0.8333333333333334,0
2017-05-10,0.028780304026164383,0.5,1
2017-05-11,0.005913474730194712,0.3333333333333333,0
2017-05-12,0.0070747281000455575,0.8333333333333334,0
2017-05-15,0.0078492177908455,0.5,0
2017-05-16,0.00786146176595339,0.6666666666666666,0
2017-05-17,-0.03470388406051489,0.0,1
2017-05-18,0.017202670807150322,1.0,0
2017-05-19,0.005758428754215246,0.8333333333333334,0
2017-05-22,0.009923749999664574,1.0,0
2017-05-23,-0.0017634124421351445,0.5,0
2017-05-24,0.006088380895273249,0.8333333333333334,0
2017-05-25,0.008030037870266423,0.8333333333333334,0
2017-05-26,0.005732595400457878,0.8333333333333334,0
2017-05-30,0.00526699328770482,1.0,0
2017-05-31,-0.004347454009276756,0.0,1
2017-06-01,0.0020390688753916995,1.0,0
2017-06-02,0.01158045064408573,0.8333333333333334,0
2017-06-05,0.005398557821543082,0.6666666666666666,0
2017-06-06,-0.002564187709984326,0.3333333333333333,0
2017-06-07,0.004873649882362848,0.8333333333333334,0
2017-06-08,0.01261055891792151,0.6666666666666666,0
2017-06-09,-0.035958479782189134,0.0,1
2017-06-12,-0.009318404444105699,0.16666666666666666,1
2017-06-13,0.011618728635974573,1.0,0
2017-06-14,-0.004104168822757215,0.16666666666666666,1
2017-06-15,-0.004500377047053861,0.16666666666666666,1
2017-06-16,0.0013654085798735134,0.5,0
2017-06-19,0.019617916344976376,1.0,1
2017-06-20,-0.006429174658748408,0.0,1
2017-06-21,0.009457785703949284,1.0,0
2017-06-22,-0.0022016792682539124,0.0,1
2017-06-23,0.0010797912816994752,0.8333333333333334,0
2017-06-26,-0.007926020854057378,0.0,1
2017-06-27,-0.020782921871425903,0.0,1
2017-06-28,0.017393561338427215,1.0,0
2017-06-29,-0.018862494548810504,0.0,1
2017-06-30,-0.002303467296249732,0.5,0
2017-07-03,-0.01550895108692176,0.0,1
2017-07-05,0.014244799067522592,1.0,0
2017-07-06,-0.006564440494856401,0.16666666666666666,1
2017-07-07,0.014750472626897437,1.0,0
