date,ticker,open,high,low,close,adj_close,volume,ret,ret_z,ret_mu,ret_sd,log_volume,volz,range,range_pct,has_history,anomaly_flag_rule,type_rule,why_rule
2017-04-04,AAPL,35.8125,36.22249984741211,35.79249954223633,36.192501068115234,33.51203918457031,79565600,0.007446289286481056,,,,18.1920923966022,-0.5312644174731924,0.011880922635506991,71.42857142857143,True,0,,
2017-04-05,AAPL,36.05500030517578,36.3650016784668,35.95249938964844,36.005001068115234,33.33843994140625,110871600,-0.005180205304963659,-0.9247184907911982,,,18.52388333296036,0.7537604696353364,0.011456805348734094,71.42857142857143,True,0,,
2017-04-06,AAPL,36.0724983215332,36.130001068115234,35.86249923706055,35.915000915527344,33.25510025024414,84596000,-0.002499807768707285,-0.6331092412490905,,,18.253397542134778,-0.3675740470434462,0.007448192238219792,33.33333333333333,True,0,,
2017-04-07,AAPL,35.932498931884766,36.04499816894531,35.817501068115234,35.834999084472656,33.18101119995117,66688800,-0.002227900374241809,-0.5903531733573945,,,18.015547580744396,-1.3296128961537959,0.006348461187170864,19.047619047619047,True,0,,
2017-04-10,AAPL,35.900001525878906,35.970001220703125,35.724998474121094,35.79249954223633,33.141658782958984,75733600,-0.0011859920951488023,-0.46070816742860204,,,18.14273247726372,-0.7480267593316972,0.006845086253138593,25.396825396825395,True,0,,
2017-04-11,AAPL,35.73500061035156,35.837501525878906,35.01499938964844,35.407501220703125,32.78517532348633,121517600,-0.010756355371565052,-1.446868768908851,,,18.615569666221344,1.0409283713368198,0.02322960129560183,96.82539682539682,True,1,range_spike,range_pct > 95
2017-04-12,AAPL,35.400001525878906,35.537498474121094,35.252498626708984,35.45000076293945,32.82453155517578,81400000,0.0012004276719930207,-0.1718884394703566,,,18.21488583097277,-0.5697632692134807,0.00803948776526,47.61904761904761,True,0,,
2017-04-13,AAPL,35.477500915527344,35.595001220703125,35.26250076293945,35.26250076293945,32.65092468261719,71291600,-0.005288936790058152,-0.8345343287541838,,,18.082289066382426,-1.1944437921042386,0.009429293174610198,65.07936507936508,True,0,,
2017-04-17,AAPL,35.369998931884766,35.470001220703125,35.217498779296875,35.45750045776367,32.83147430419922,66328400,0.005529693977645689,0.28290680646497485,,,18.010128719395638,-1.3746238480421153,0.007121270200843015,33.33333333333333,True,0,,
2017-04-18,AAPL,35.352500915527344,35.5099983215332,35.27750015258789,35.29999923706055,32.685638427734375,58790000,-0.0044419533254463905,-0.7570967124019746,,,17.88948233037844,-1.7673718193578003,0.006586350537402243,22.22222222222222,True,0,,
2017-04-19,AAPL,35.470001220703125,35.5,35.11249923706055,35.16999816894531,32.56525802612305,69313600,-0.00368297538007345,-0.6569781351522562,,,18.05415169310222,-1.0310371146359807,0.011017935260559998,73.01587301587301,True,0,,
2017-04-20,AAPL,35.30500030517578,35.72999954223633,35.290000915527344,35.61000061035156,32.972679138183594,93278400,0.012510913063662032,1.0127563768013943,,,18.351099127760687,0.23942075160239437,0.012356040976339664,80.95238095238095,True,0,,
2017-04-21,AAPL,35.61000061035156,35.66999816894531,35.462501525878906,35.567501068115234,32.93333053588867,69283600,-0.0011933698845040253,-0.41443665939302216,,,18.05371878391692,-1.017515268915961,0.00583388309088766,12.698412698412698,True,0,,
2017-04-24,AAPL,35.875,35.98749923706055,35.79499816894531,35.90999984741211,33.2504768371582,68537200,0.009629949237108804,0.6935641239498243,,,18.042887221519077,-0.9767339264405074,0.005360653548682963,4.761904761904762,True,0,,
2017-04-25,AAPL,35.977500915527344,36.22499847412109,35.967498779296875,36.13249969482422,33.45648956298828,75486000,0.0061957826000214045,0.3281384179323325,,,18.13945776656132,-0.4676812993282908,0.007126539735668968,33.33333333333333,True,0,,
2017-04-26,AAPL,36.11750030517578,36.150001525878906,35.845001220703125,35.91999816894531,33.25971984863281,80164800,-0.005881361640916127,-0.9099564463804177,,,18.1995950737476,-0.14872146464419397,0.008491100242857744,52.38095238095239,True,0,,
2017-04-27,AAPL,35.97999954223633,36.040000915527344,35.82749938964844,35.9474983215332,33.28518295288086,56985200,0.0007655838462841125,-0.2011452592951467,,,17.858302142961346,-1.7177837676343035,0.005911441290800868,14.285714285714285,True,0,,
2017-04-28,AAPL,36.022499084472656,36.07500076293945,35.817501068115234,35.912498474121094,33.25277328491211,83441600,-0.000973696554849357,-0.3796484263498849,,,18.239657543928363,0.28654243791326584,0.007170197167144347,33.33333333333333,True,0,,
2017-05-01,AAPL,36.275001525878906,36.79999923706055,36.2400016784668,36.64500045776367,33.931034088134766,134411600,0.020397119885648962,1.8086648329362842,,,18.71641729185268,3.10341682674956,0.015281690588029669,90.47619047619048,True,1,volume_shock,volz > 2.5
2017-05-02,AAPL,36.8849983215332,37.022499084472656,36.709999084472656,36.87749862670898,34.14630126953125,181408800,0.006344256436079609,0.3261881483715113,,,19.01626360604529,3.906895025310492,0.008474002078157981,50.79365079365079,True,1,volume_shock,volz > 2.5
2017-05-03,AAPL,36.397499084472656,36.872501373291016,36.067501068115234,36.76499938964844,34.042144775390625,182788000,-0.003050300918933324,-0.628374269599774,,,19.02383756931534,2.886993269822102,0.021895833497618318,93.65079365079364,True,1,volume_shock,volz > 2.5
2017-05-04,AAPL,36.630001068115234,36.78499984741211,36.45249938964844,36.63249969482422,33.9194450378418,93487600,-0.003604348032663629,-0.8542544370739859,,,18.353339365143206,0.26316581010610185,0.009076652167710265,61.904761904761905,True,0,,
2017-05-05,AAPL,36.68999862670898,37.244998931884766,36.68999862670898,37.2400016784668,34.48195266723633,109310800,0.01658363303901278,2.1123100184396426,,,18.50970575887831,0.7235556487532853,0.014903337276074962,88.88888888888889,True,0,,
2017-05-08,AAPL,37.25749969482422,38.42499923706055,37.25749969482422,38.25249862670898,35.41947937011719,195009600,0.027188909860422994,3.519823454962965,,,19.088559346085457,2.521957331102757,0.03052087011699536,100.0,True,1,spike + volume_shock,|ret_z| > 2.5; volz > 2.5; range_pct > 95
2017-05-09,AAPL,38.46749877929688,38.720001220703125,38.36249923706055,38.497501373291016,35.646339416503906,156521600,0.006404951467980036,0.4900120010469556,,,18.86870457759004,1.5130567654946399,0.009286368488595148,61.904761904761905,True,0,,
2017-05-10,AAPL,38.407501220703125,38.48500061035156,38.02750015258789,38.31499862670898,35.47734069824219,103222800,-0.004740983815675448,-0.9634160421402561,,,18.452400316842805,0.2560031344939836,0.011940505654742558,76.19047619047619,True,0,,
2017-05-11,AAPL,38.11249923706055,38.51750183105469,38.07749938964844,38.48749923706055,35.784156799316406,109020400,0.008648227151067722,0.8053238035037914,,,18.50704557864523,0.36416661562466573,0.011432346869202688,71.42857142857143,True,0,,
2017-05-12,AAPL,38.67499923706055,39.10499954223633,38.66749954223633,39.025001525878906,36.2839241027832,130108000,0.013966161233575525,1.4920516252399276,,,18.683875432752874,0.8556500062557689,0.011210761893497371,69.84126984126983,True,0,,
2017-05-15,AAPL,39.00249862670898,39.16249847412109,38.76250076293945,38.92499923706055,36.19093704223633,104038800,-0.002562761962666027,-0.6807191795781059,,,18.460274464452834,0.19279231467826352,0.010276113526568683,65.07936507936508,True,0,,
2017-05-16,AAPL,38.98500061035156,39.01499938964844,38.68000030517578,38.86750030517578,36.13746643066406,80194000,-0.0014774586109739252,-0.5190949967368801,,,18.19995925707053,-0.5550666062436974,0.00861900255592321,47.61904761904761,True,0,,
2017-05-17,AAPL,38.400001525878906,38.64250183105469,37.4275016784668,37.5625,34.92414093017578,203070800,-0.033575278521980945,-4.669580296964369,,,19.12906524467338,1.9675537627195425,0.032346093912489604,100.0,True,1,crash,|ret_z| > 2.5; range_pct > 95
2017-05-18,AAPL,37.817501068115234,38.334999084472656,37.782501220703125,38.1349983215332,35.456424713134766,134272800,0.015241141765610866,1.5161081486767396,,,18.71538410933559,0.6470017702026597,0.014487947766804,84.12698412698413,True,0,,
2017-05-19,AAPL,38.345001220703125,38.494998931884766,38.157501220703125,38.26499938964844,35.5772819519043,107843200,0.0034086132413897463,0.15495665466342132,,,18.496188878278524,-0.024763091686971977,0.008820010886317732,50.79365079365079,True,0,,
2017-05-22,AAPL,38.5,38.64500045776367,38.227500915527344,38.497501373291016,35.79346466064453,91865600,0.006076425653665396,0.4484558844133444,,,18.33583719733778,-0.48570942315982096,0.010844847778250434,65.07936507936508,True,0,,
2017-05-23,AAPL,38.72499847412109,38.72499847412109,38.32749938964844,38.45000076293945,35.74929428100586,79675600,-0.0012340347618607916,-0.35746736682253627,,,18.193473948832352,-0.946786594557802,0.010338077414442705,63.49206349206349,True,0,,
2017-05-24,AAPL,38.459999084472656,38.54249954223633,38.16749954223633,38.334999084472656,35.642391204833984,76712000,-0.0029903548677511216,-0.5437683483194082,,,18.155568707815654,-1.1020212881819849,0.009782183616952043,57.14285714285714,True,0,,
2017-05-25,AAPL,38.432498931884766,38.587501525878906,38.25749969482422,38.46749877929688,35.765567779541016,76942400,0.003455900980356308,0.16647640207210632,,,18.15856764793944,-1.0982776978380975,0.008578718178377995,41.269841269841265,True,0,,
2017-05-26,AAPL,38.5,38.560001373291016,38.32749938964844,38.40250015258789,35.70513916015625,87710400,-0.001689575285292455,-0.4071168347323827,,,18.289551036400578,-0.7047039201965857,0.006054344970217001,12.698412698412698,True,0,,
2017-05-30,AAPL,38.35499954223633,38.60749816894531,38.33250045776367,38.41749954223633,35.71908950805664,80507600,0.00039070980336508576,-0.17034599142235649,,,18.203862147870343,-1.1083623876219189,0.007158136642373281,26.984126984126984,True,0,,
2017-05-31,AAPL,38.49250030517578,38.54249954223633,38.095001220703125,38.18999862670898,35.507564544677734,97804800,-0.005921902441863636,-0.8676319939026255,,,18.398484213555275,-0.48073554229557397,0.011717683624639772,73.01587301587301,True,0,,
2017-06-01,AAPL,38.29249954223633,38.33250045776367,38.05500030517578,38.29499816894531,35.605186462402344,65616400,0.0027493273328216272,0.14055971186612254,,,17.999336222669523,-1.699902249512403,0.0072463811426142,28.57142857142857,True,0,,
2017-06-02,AAPL,38.39500045776367,38.86249923706055,38.22249984741211,38.86249923706055,36.13282012939453,111082800,0.014819011481637556,1.5061788197112,,,18.525786427143156,0.12343998422589662,0.016468302404959927,88.88888888888889,True,0,,
2017-06-05,AAPL,38.584999084472656,38.61249923706055,38.3650016784668,38.48249816894531,35.779510498046875,101326800,-0.00977808070564179,-1.3028656139943542,,,18.43386149493966,-0.09998800997956937,0.006431431699345239,14.285714285714285,True,0,,
2017-06-06,AAPL,38.47499847412109,38.95249938964844,38.44499969482422,38.61249923706055,35.900390625,106499600,0.003378473469046517,0.188330135430636,,,18.483651787238156,0.0573865652504656,0.013143404463628114,82.53968253968253,True,0,,
2017-06-07,AAPL,38.755001068115234,38.994998931884766,38.619998931884766,38.84249877929688,36.11422729492188,84278400,0.005956388390185641,0.4716595434448795,,,18.249636162382135,-0.7417035225503954,0.00965437373457229,55.55555555555556,True,0,,
2017-06-08,AAPL,38.8125,38.8849983215332,38.59999847412109,38.747501373291016,36.02591323852539,85003200,-0.00244540899837864,-0.4816758582957573,,,18.258199460804782,-0.6472491927267489,0.007355309047322708,30.158730158730158,True,0,,
2017-06-09,AAPL,38.79750061035156,38.79750061035156,36.505001068115234,37.244998931884766,34.62893295288086,259530800,-0.03877709570872523,-4.531911940487566,,,19.374385943315197,4.0545111529771924,0.06155187563379848,100.0,True,1,crash + volume_shock,|ret_z| > 2.5; volz > 2.5; range_pct > 95
2017-06-12,AAPL,36.435001373291016,36.522499084472656,35.627498626708984,36.35499954223633,33.801456451416016,289229200,-0.023895524086485098,-2.435571128610358,,,19.482730011340045,3.269617734042584,0.02461835975885195,95.23809523809523,True,1,volume_shock,volz > 2.5; range_pct > 95
2017-06-13,AAPL,36.790000915527344,36.86249923706055,36.28749847412109,36.647499084472656,34.07341384887695,136661600,0.008045730155203046,0.6709605599465457,,,18.733018355136558,0.6331416038694563,0.015690040993358943,84.12698412698413,True,0,,
2017-06-14,AAPL,36.875,36.875,35.959999084472656,36.290000915527344,33.741024017333984,126124800,-0.009755107985868094,-0.992502526236486,,,18.652782450908347,0.4191708777230874,0.02521358204584238,95.23809523809523,True,1,range_spike,range_pct > 95
2017-06-15,AAPL,35.83000183105469,36.119998931884766,35.5525016784668,36.0724983215332,33.53877258300781,128661600,-0.005994229286647279,-0.613916845488966,,,18.672696259747312,0.44506128368384157,0.015732130565495255,82.53968253968253,True,0,,
2017-06-16,AAPL,35.94499969482422,36.125,35.54999923706055,35.567501068115234,33.06926345825195,201444400,-0.013998995449038376,-1.3388701782203056,,,19.121023970754088,1.550077953591997,0.01616646505016674,82.53968253968253,True,0,,
2017-06-19,AAPL,35.915000915527344,36.685001373291016,35.915000915527344,36.584999084472656,34.015289306640625,130165600,0.028607406076127884,2.570817965976543,,,18.68431804392005,0.42345743640772215,0.021046890174461538,85.71428571428571,True,1,spike,|ret_z| > 2.5
2017-06-20,AAPL,36.71749877929688,36.71749877929688,36.23500061035156,36.25249862670898,33.70615768432617,99600400,-0.009088019788034085,-0.8510114253267738,,,18.41667673861102,-0.2657313938949015,0.013309376931879663,71.42857142857143,True,0,,
2017-06-21,AAPL,36.380001068115234,36.51750183105469,36.15250015258789,36.46749877929688,33.90604782104492,85063200,0.005930374461272425,0.4569378787243701,,,18.258905067585303,-0.6638653757281937,0.010008958406382768,50.79365079365079,True,0,,
2017-06-22,AAPL,36.442501068115234,36.67499923706055,36.27999877929688,36.407501220703125,33.85026168823242,76425200,-0.0016453151103583696,-0.19941465770074596,,,18.151823042682466,-0.9266296780499915,0.010849425105259566,57.14285714285714,True,0,,
2017-06-23,AAPL,36.282501220703125,36.790000915527344,36.27750015258789,36.56999969482422,34.001346588134766,141757600,0.004463330336818894,0.33541545943340073,,,18.769629114655157,0.6661095017573263,0.014014240284830731,73.01587301587301,True,0,,
2017-06-26,AAPL,36.79249954223633,37.06999969482422,36.345001220703125,36.45500183105469,33.89442825317383,102769600,-0.00314453236973411,-0.34301631169109814,,,18.448000147407246,-0.23606068398748775,0.019887489718996364,85.71428571428571,True,0,,
2017-06-27,AAPL,36.25249862670898,36.540000915527344,35.904998779296875,35.932498931884766,33.40863037109375,99047600,-0.014332676699881697,-1.3193628552195227,,,18.411111100628503,-0.37607159132416657,0.017672083910284304,84.12698412698413,True,0,,
2017-06-28,AAPL,36.122501373291016,36.52750015258789,35.790000915527344,36.45750045776367,33.896759033203125,88329600,0.014610855239720388,1.2892106027730388,,,18.29658583023829,-0.7013563373142991,0.020229012625672078,87.3015873015873,True,0,,
2017-06-29,AAPL,36.1775016784668,36.282501220703125,35.56999969482422,35.91999816894531,33.39699172973633,125997600,-0.01474380789553531,-1.323303062422445,,,18.651773417115297,0.2400737269849387,0.01983578959352232,84.12698412698413,True,0,,
2017-06-30,AAPL,36.11249923706055,36.2400016784668,35.94499969482422,36.005001068115234,33.47603988647461,92096400,0.0023669244636754794,0.1961272167406207,,,18.338346412513697,-0.6424802890932497,0.008193361335679047,26.984126984126984,True,0,,
2017-07-03,AAPL,36.220001220703125,36.32500076293945,35.775001525878906,35.875,33.35516357421875,57111200,-0.0036108306916164956,-0.32791957075497247,,,17.86051080250224,-2.0889071397068166,0.015330989186356708,74.60317460317461,True,0,,
2017-07-05,AAPL,35.92250061035156,36.1974983215332,35.68000030517578,36.022499084472656,33.492305755615234,86278400,0.004111572743192404,0.34657836721150725,,,18.273089835038828,-0.7481354888097649,0.014365966535078272,68.25396825396825,True,0,,
2017-07-06,AAPL,35.755001068115234,35.875,35.602500915527344,35.682498931884766,33.176177978515625,96515200,-0.009438817960349288,-0.8243721236868717,,,18.38521106685872,-0.43074735585964463,0.007636771320103918,23.809523809523807,True,0,,
2017-07-07,AAPL,35.724998474121094,36.1875,35.724998474121094,36.04499816894531,33.51323318481445,76806800,0.010159555043293356,0.8795839510760267,,,18.156803735864987,-1.0054189227312802,0.012831226227592819,61.904761904761905,True,0,,
2017-07-10,AAPL,36.02750015258789,36.48749923706055,35.842498779296875,36.26499938964844,33.7177848815918,84362400,0.0061036097487014995,0.5085584756880867,,,18.250632362672302,-0.7449384220114073,0.017785756752219394,82.53968253968253,True,0,,
2017-07-11,AAPL,36.182498931884766,36.462501525878906,36.095001220703125,36.38249969482422,33.82701873779297,79127200,0.0032396510205154883,0.2504521413318718,,,18.18656724214951,-0.9067853171383051,0.010101018573719988,42.857142857142854,True,0,,
2017-07-12,AAPL,36.46749877929688,36.54499816894531,36.20500183105469,36.435001373291016,33.87584686279297,99538000,0.0014434652186905428,0.0901577393259078,,,18.416050038767672,-0.19826452298014194,0.009331585702638732,34.92063492063492,True,0,,
2017-07-13,AAPL,36.375,37.122501373291016,36.36000061035156,36.942501068115234,34.347694396972656,100797600,0.01392873028653141,1.1537267649368426,,,18.428625103794282,-0.02350553053619035,0.020640204125149535,88.88888888888889,True,0,,
2017-07-14,AAPL,36.99250030517578,37.33250045776367,36.83250045776367,37.2599983215332,34.64288711547852,80528400,0.008594251337344039,0.6680597453005579,,,18.204120475202313,-0.8195479622805594,0.013419216922268117,63.49206349206349,True,0,,
2017-07-17,AAPL,37.20500183105469,37.72499847412109,37.14250183105469,37.38999938964844,34.763755798339844,95174000,0.003488989888701166,0.21198716082760316,,,18.371217353216775,-0.10645242779388239,0.015578942299412434,73.01587301587301,True,0,,
2017-07-18,AAPL,37.29999923706055,37.532501220703125,37.16749954223633,37.52000045776367,34.88462448120117,71475200,0.0034768591622398315,0.21389732063933709,,,18.084861094349918,-1.174675479031182,0.009728189605905786,34.92063492063492,True,0,,
2017-07-19,AAPL,37.619998931884766,37.85499954223633,37.48749923706055,37.755001068115234,35.10312271118164,83692000,0.006263453691416787,0.4421734718826681,,,18.24265395144128,-0.4570382733348617,0.009733817899058193,34.92063492063492,True,0,,
