date,ticker,anomaly_flag,ret,ret_z,volz,range_pct,type,why
2017-04-04,AAPL,0,0.007446289286481056,,-0.5312644174731924,71.42857142857143,,
2017-04-04,AMZN,0,0.017184301509601818,,2.4618268277182724,93.65079365079364,,
2017-04-04,META,0,-0.0038657501727092924,,-0.4974068330060478,4.761904761904762,,
2017-04-04,MSFT,0,0.0027458934888324737,,-1.6844514806446862,22.22222222222222,,
2017-04-04,NVDA,1,-0.07012395145144124,,2.815365596239584,84.12698412698413,volume_shock,volz > 2.5
2017-04-04,QQQ,0,0.0015869943685105081,,-1.0373754530638808,34.92063492063492,,
2017-04-05,AAPL,0,-0.005180205304963659,-0.9247184907911982,0.7537604696353364,71.42857142857143,,
2017-04-05,AMZN,1,0.0027017495033232475,-0.030185872463824537,3.475842175384332,90.47619047619048,volume_shock,volz > 2.5
2017-04-05,META,0,0.000846814039701993,-0.27802308202001835,0.6802986377023834,76.19047619047619,,
2017-04-05,MSFT,0,-0.0025863420492663325,-0.51191427552169,0.2908330951216164,84.12698412698413,,
2017-04-05,NVDA,0,-0.007441685450370494,-0.317705204890371,0.7683064722192683,53.96825396825397,,
2017-04-05,QQQ,1,-0.004075048686021154,-1.4017020961466535,1.7881136535092084,98.4126984126984,range_spike,range_pct > 95
2017-04-06,AAPL,0,-0.002499807768707285,-0.6331092412490905,-0.3675740470434462,33.33333333333333,,
2017-04-06,AMZN,1,-0.012097466755439101,-1.6054674323581883,2.1951258171071624,95.23809523809523,range_spike,range_pct > 95
2017-04-06,META,0,-0.0047939750835048756,-0.9633841374139671,0.09659679947184653,36.507936507936506,,
2017-04-06,MSFT,0,0.002593048559792255,0.24512614957185966,-0.34850666313209233,34.92063492063492,,
2017-04-06,NVDA,0,0.007298165178850624,0.3246902431350525,0.21980134113025188,52.38095238095239,,
2017-04-06,QQQ,0,0.000530321019968305,-0.2408236522936139,-0.06634640524234187,36.507936507936506,,
2017-04-07,AAPL,0,-0.002227900374241809,-0.5903531733573945,-1.3296128961537959,19.047619047619047,,
2017-04-07,AMZN,0,-0.003785055396937742,-0.6826594774127568,0.5236925904022144,57.14285714285714,,
2017-04-07,META,0,-0.002762546096402918,-0.676948358185144,-1.0694769329194698,38.095238095238095,,
2017-04-07,MSFT,0,-0.0007608019936666821,-0.2548848603499195,-1.2207939016670704,20.634920634920633,,
2017-04-07,NVDA,0,-0.004267832775804226,-0.18844432102636735,-1.0039190421687256,19.047619047619047,,
2017-04-07,QQQ,0,-0.000530039928652748,-0.48109857392239186,-0.4618521542653621,63.49206349206349,,
2017-04-10,AAPL,0,-0.0011859920951488023,-0.46070816742860204,-0.7480267593316972,25.396825396825395,,
2017-04-10,AMZN,0,0.013588452441311683,1.3564564778737624,0.06387363766784261,47.61904761904761,,
2017-04-10,META,0,0.001846726502642726,-0.036877130715546186,-2.148730690830892,4.761904761904762,,
2017-04-10,MSFT,0,-0.0022837587400023063,-0.4617163178930498,-0.2807124504233609,9.523809523809524,,
2017-04-10,NVDA,0,-0.02551562399863927,-1.0860210423325598,0.7719403793752211,66.66666666666666,,
2017-04-10,QQQ,0,0.00037867804005364825,-0.22943410017876534,-0.6446632424102516,69.84126984126983,,
2017-04-11,AAPL,1,-0.010756355371565052,-1.446868768908851,1.0409283713368198,96.82539682539682,range_spike,range_pct > 95
2017-04-11,AMZN,0,-0.005159665583149842,-0.8299731482889883,-0.11395464102526853,77.77777777777779,,
2017-04-11,META,0,-0.00794099363792311,-1.3570530752025611,0.5636996970031652,88.88888888888889,,
2017-04-11,MSFT,0,-0.0007629310935326483,-0.23789901669379057,-0.10647743255486544,66.66666666666666,,
2017-04-11,NVDA,0,0.0035799964041804966,0.20701103039978186,0.08883483052195436,39.682539682539684,,
2017-04-11,QQQ,1,-0.00431749084170463,-1.3923819109469937,1.8065961963896673,95.23809523809523,range_spike,range_pct > 95
2017-04-12,AAPL,0,0.0012004276719930207,-0.1718884394703566,-0.5697632692134807,47.61904761904761,,
2017-04-12,AMZN,0,-0.006793286071941518,-1.0055507220700675,-0.7374607502908298,47.61904761904761,,
2017-04-12,META,0,-0.0024298864058029945,-0.5887776383273906,-0.9626234625704762,14.285714285714285,,
2017-04-12,MSFT,0,-0.003818082939770817,-0.6916353910588433,-0.42339319018352783,4.761904761904762,,
2017-04-12,NVDA,0,-0.008255269886248806,-0.31528587096516564,-1.1220221116996594,7.936507936507936,,
2017-04-12,QQQ,0,-0.004031849802786369,-1.2765731193455094,-0.7024657035302088,47.61904761904761,,
2017-04-13,AAPL,0,-0.005288936790058152,-0.8345343287541838,-1.1944437921042386,65.07936507936508,,
2017-04-13,AMZN,0,-0.012898454814163851,-1.6692679695924137,-0.05472172883127591,57.14285714285714,,
2017-04-13,META,0,-0.001361285592565431,-0.41619434310722336,-1.156655841208176,34.92063492063492,,
2017-04-13,MSFT,0,-0.004292567606728137,-0.7382027965164585,-0.30297867801996675,85.71428571428571,,
2017-04-13,NVDA,0,-0.018703384124748368,-0.7733091156403733,-0.4478105215646857,15.873015873015872,,
2017-04-13,QQQ,0,-0.0039719273354899,-1.2216099608582067,0.5285561746310005,80.95238095238095,,
2017-04-17,AAPL,0,0.005529693977645689,0.28290680646497485,-1.3746238480421153,33.33333333333333,,
2017-04-17,AMZN,0,0.01957786036312048,2.073443970449648,-0.38304465412891997,84.12698412698413,,
2017-04-17,META,0,0.014563542376980543,1.8034292059829962,-0.854487151887807,65.07936507936508,,
2017-04-17,MSFT,0,0.008160312870936659,1.1352298475206402,-0.505963157221,19.047619047619047,,
2017-04-17,NVDA,0,0.039166928414061886,1.745707400845905,-0.4760007229489265,77.77777777777779,,
2017-04-17,QQQ,0,0.008282346256681672,1.7586107494294603,-1.3136474898147907,49.2063492063492,,
2017-04-18,AAPL,0,-0.0044419533254463905,-0.7570967124019746,-1.7673718193578003,22.22222222222222,,
2017-04-18,AMZN,0,0.0019845104652858048,0.04124058301173707,-0.3228754700672134,46.03174603174603,,
2017-04-18,META,0,-0.0032528920088528146,-0.6656849921218361,0.18173071636902333,41.269841269841265,,
2017-04-18,MSFT,0,-0.0013746076951640651,-0.3286857887940205,-0.8170328876551363,33.33333333333333,,
2017-04-18,NVDA,0,0.00060432180711123,0.040750804407345916,-1.3569518302463215,19.047619047619047,,
2017-04-18,QQQ,0,-0.0015209728561575986,-0.6152097536596706,-1.332477566726175,39.682539682539684,,
2017-04-19,AAPL,0,-0.00368297538007345,-0.6569781351522562,-1.0310371146359807,73.01587301587301,,
2017-04-19,AMZN,0,-0.005067607066505442,-0.7645895590692937,-0.43659448720326366,74.60317460317461,,
2017-04-19,META,0,0.009293568658203188,1.0666175962987285,0.46615201997863615,63.49206349206349,,
2017-04-19,MSFT,0,-0.005352403231693614,-0.932514792856004,2.284248226837536,79.36507936507937,,
2017-04-19,NVDA,0,0.003927861729918769,0.16761064417492988,-1.1881445942454865,6.349206349206349,,
2017-04-19,QQQ,0,0.0015995097254175583,0.11779791480381897,-0.2513859454425359,73.01587301587301,,
2017-04-20,AAPL,0,0.012510913063662032,1.0127563768013943,0.23942075160239437,80.95238095238095,,
2017-04-20,AMZN,0,0.0031806396643336843,0.15921733950340672,-0.5423628513362688,49.2063492063492,,
2017-04-20,META,0,0.010754143289287699,1.238271657707225,0.5254585165682436,55.55555555555556,,
2017-04-20,MSFT,0,0.007072532386639407,0.9476799620127233,0.9772013437343523,42.857142857142854,,
2017-04-20,NVDA,0,0.015850765926352928,0.6906874592647132,-0.8899178517504774,23.809523809523807,,
2017-04-20,QQQ,0,0.00836532980194682,1.7272910386333737,0.3306949439622905,79.36507936507937,,
2017-04-21,AAPL,0,-0.0011933698845040253,-0.41443665939302216,-1.017515268915961,12.698412698412698,,
2017-04-21,AMZN,0,-0.003913314530636147,-0.6322018118914142,-0.9519880341107279,25.396825396825395,,
